ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ECOLE_POLYTECHNIQUE	1233	27.0	29.1	251	21.1	27.9	159	25.2	28.3	131	30.5	24.4	76	74	131	
ESPCI_Paris	1308	30.0	29.6	445	24.3	29.9	378	24.9	28.6	55	27.3	29.1	222	215	55	
ESPCI_Paris_Etranger	58	29.3	31.0	21	14.3	33.3	18	11.1	38.9	2	0.0	100.0	12	12	2	
ENS_Ulm	1143	27.8	30.5	100	16.0	42.0	65	21.5	40.0	18	11.1	38.9	18	19	18	
ENS_Paris-Saclay_PC	1358	27.4	29.9	272	17.3	35.3	162	19.1	38.9	19	0.0	42.1	117	106	19	
ENS_de_Lyon	1215	28.1	30.6	244	18.4	40.2	177	19.8	37.3	27	14.8	40.7	86	76	27	
CentraleSupélec_-_Campus_Gif	2455	31.0	25.9	654	25.4	27.8	624	26.1	27.9	149	26.2	30.2	235	218	145	
CentraleSupélec_-_Campus_Gif_-_étr.	97	27.8	25.8	33	15.2	36.4	33	15.2	36.4	10	20.0	60.0	11	10	8	
CENTRALE_LYON	2722	32.0	25.5	624	26.6	29.2	601	27.1	29.0	61	27.9	34.4	386	383	62	
Institut_d'optique_Graduate_School_(SupOptique)	1675	33.6	29.3	625	31.4	33.6	588	32.3	33.5	50	46.0	50.0	443	419	45	
Institut_d'optique_Graduate_School_(SupOptique)_-_étr.	43	27.9	20.9	28	25.0	17.9	25	24.0	20.0	1	0.0	0.0	15	15	2	
CENTRALE_LILLE	2533	32.9	27.0	713	29.3	33.5	686	29.9	33.7	53	20.8	50.9	466	435	50	
CENTRALE_NANTES	2654	33.0	26.4	505	28.5	33.7	487	29.2	33.7	55	36.4	29.1	382	370	55	
CENTRALE_MARSEILLE	2845	34.4	24.3	1079	31.8	24.2	1014	32.5	24.5	77	42.9	27.3	713	702	80	
CENTRALE_CASABLANCA	339	28.0	33.6	53	26.4	41.5	41	29.3	43.9	0	0.0	0.0	0	0	2	
ECOLE_NAVALE_Brest	477	22.0	31.0	151	21.2	44.4	56	12.5	57.1	15	0.0	53.3	29	25	15	
ENSEA_Cergy	931	32.1	26.4	681	33.5	26.9	396	35.9	25.8	22	50.0	22.7	363	341	30	
Université_de_Technologie_de_Troyes_(UTT)	469	31.6	23.5	146	37.7	18.5	112	40.2	19.6	1	100.0	0.0	99	99	20	
CentraleSupélec_-_Campus_Gif___-_CI										5	40.0	20.0	3	3	5	
CENTRALE_LYON___-_CI										1	0.0	0.0	6	6	1	
CENTRALE_LILLE___-_CI										0	0.0	0.0	0	0	1	
CENTRALE_NANTES___-_CI										1	0.0	0.0	7	7	5	
Institut_d'optique_Graduate_School_(SupOptique)__-_CI										2	100.0	0.0	15	15	2	
CENTRALE_MARSEILLE__-_CI										2	50.0	0.0	9	9	2	
Concours Cycle International CentraleSupÃ©lec	35	57.1	17.1	21	52.4	19.0	20	50.0	20.0	11					16	
ENSAE_ParisTech										4	25.0	25.0	512	438	10	
ENSTA_ParisTech										31	29.0	6.5	433	379	38	
IMT_Atlantique_cursus_Sophia_Antipolis										2	0.0	50.0	877	877	3	
IMT_Atlantique_cursus_Brest-Nantes-Rennes-Toulouse										54	31.5	29.6	948	907	57	
ISAE_-_SUPAERO_Toulouse										34	26.5	29.4	311	309	35	
MINES_de_NANCY										42	23.8	28.6	653	649	42	
MINES_de_SAINT-ETIENNE										45	24.4	31.1	833	802	41	
MINES_ParisTech										24	25.0	4.2	70	63	22	
PONTS_ParisTech										38	28.9	21.1	208	208	38	
TELECOM_ParisTech_cursus_Paris										17	23.5	17.6	395	402	24	
TELECOM_ParisTech_cursus_Sophia										8	25.0	0.0	521	521	7	
Concours Commun Mines Ponts PC	3434	31.9	24.8	1170	25.8	26.7	1128	26.3	26.2	299					317	
Bordeaux_INP_-_ENSC_Cognitique										4	50.0	0.0	1555	1648	4	
Bordeaux_INP_-_ENSEIRB-MATMECA_Electronique										13	30.8	61.5	1985	1920	13	
Bordeaux_INP_-_ENSEIRB-MATMECA_Informatique										7	28.6	28.6	1254	1256	5	
Bordeaux_INP_-_ENSEIRB-MATMECA_Mathématiques_et_Mécanique										5	40.0	20.0	1434	1377	11	
Bordeaux_INP_-_ENSEIRB-MATMECA_Télecom.										7	42.9	42.9	1731	1710	8	
CPE_LYON_Sciences_du_numérique										10	0.0	40.0	2723	2680	8	
EISTI_Cergy_-_Pau										18	11.1	38.9	3078	2880	13	
ENAC_Toulouse_Civil										17	23.5	23.5	637	624	20	
ENAC_Toulouse_Fonctionnaire										4	0.0	25.0	130	135	4	
ENGEES__Strasbourg_Civil_(apprenti)										0	0.0	0.0	0	0	2	
ENGEES__Strasbourg_Civil_(étudiant)										14	85.7	14.3	2431	2363	10	
ENGEES__Strasbourg_Fonctionnaire										3	33.3	66.7	1822	1684	3	
ENSGTI_Pau_-_Génie_des_Procédés										16	43.8	25.0	3033	2999	12	
ENSI_Poitiers_Energie										16	31.2	31.2	2925	2858	17	
ENSIAME_Valenciennes_Méca_Energ.										20	30.0	25.0	2795	2704	20	
ENSIAME_Valenciennes_Mécatronique										4	50.0	50.0	2776	2587	5	
ENSICAEN_Electronique_et_Physique_Appliquée										16	12.5	37.5	2524	2396	15	
ENSICAEN_Informatique										11	36.4	18.2	2403	2424	8	
ENSMM_BesanÃ§on										18	33.3	11.1	2332	2295	25	
Grenoble__INP_-_ENSE3										54	37.0	35.2	1463	1433	60	
Grenoble__INP_-_Pagora										14	35.7	28.6	2719	2680	18	
Grenoble__INP_-_Phelma_(Physique_Electronique_Télécoms)										29	27.6	20.7	1018	930	35	
Grenoble__INP_-_Phelma_(Physique_Matériaux_Procédés)										60	35.0	25.0	873	831	66	
Grenoble_INP_-_ENSIMAG										11	27.3	27.3	524	526	10	
Grenoble_INP_-_Esisar										14	14.3	21.4	2076	1975	6	
ISAE-ENSMA_Poitiers										31	32.3	38.7	1054	1088	28	
ISIMA_Clermont-Ferrand										8	12.5	12.5	2330	2222	8	
Lorraine_INP_-_ENSEM_-_Energie										23	26.1	30.4	2450	2369	24	
Lorraine_INP_-_ENSEM_-_Spécialité_des_systèmes_numériques										6	0.0	33.3	2669	2633	5	
