ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
CENTRALE_CASABLANCA										0	0.0	0.0	0	0	4	
CentraleSupélec_-_Campus_Gif										20	10.0	5.0	30	28	20	
CentraleSupélec_-_cursus_apprenti_-_Campus_Rennes										7	14.3	0.0	97	87	5	
CENTRALE_LYON										24	4.2	8.3	74	76	24	
Institut_d'optique_Graduate_School_(SupOptique)										13	7.7	7.7	257	268	5	
CENTRALE_LILLE										11	0.0	18.2	136	140	12	
CENTRALE_NANTES										10	20.0	0.0	93	89	20	
CENTRALE_MARSEILLE										3	0.0	0.0	148	143	5	
Concours CentraleSupÃ©lec	1472	12.1	20.0	439	9.3	10.9	427	9.6	10.3	88					95	
ENSTA_ParisTech										12	16.7	8.3	65	62	8	
IMT_Atlantique_cursus_Sophia_Antipolis										1	0.0	0.0	164	164	1	
IMT_Atlantique_cursus_Brest-Nantes-Rennes-Toulouse										5	20.0	0.0	117	120	3	
ISAE_-_SUPAERO_Toulouse										6	0.0	0.0	36	33	6	
MINES_de_NANCY										4	0.0	25.0	107	103	4	
MINES_de_SAINT-ETIENNE										6	0.0	33.3	120	108	2	
MINES_ParisTech										5	40.0	0.0	17	15	5	
PONTS_ParisTech										2	0.0	0.0	28	28	2	
TELECOM_ParisTech_cursus_Paris										1	0.0	0.0	30	30	1	
TELECOM_ParisTech_cursus_Sophia										1	0.0	0.0	43	43	1	
Concours Commun Mines-Ponts PT	1154	11.6	19.1	198	5.6	14.1	196	5.6	14.3	43					33	
Arts_et_Métiers_-_ingénieurs_militaires	521	11.1	22.5	123	9.8	26.8	35	11.4	28.6	7	14.3	14.3	23	22	7	
Arts_et_Métiers										538	13.2	32.3	504	498	530	
Arts_et_Métiers_-_voie_de_l'apprentissage										6	16.7	33.3	680	569	12	
ENSEA_Cergy										9	11.1	0.0	1093	1068	20	
Concours ARTS ET MÃ‰TIERS	2308	13.0	19.9	1285	10.3	25.3	1212	10.6	25.4	553					562	
ECOLE_POLYTECHNIQUE	379	9.0	14.5	21	0.0	9.5	10	0.0	10.0	10	0.0	10.0	6	6	10	
ENS_Paris-Saclay	1665	12.7	21.0	416	5.8	23.1	337	5.9	19.6	37	0.0	18.9	132	123	37	
ENS_Rennes	1538	12.7	21.8	400	5.5	24.8	346	5.8	22.3	8	0.0	0.0	114	115	8	
IMT_Mines_Albi										3	33.3	33.3	311	294	8	
IMT_Mines_Alès										24	8.3	16.7	352	331	22	
ENSTA_Bretagne_(filière_sous_statut_étudiant)										15	0.0	20.0	160	159	13	
IMT_Lille_Douai										20	10.0	40.0	395	360	20	
Mines_Saint_Etienne-ISMIN										5	0.0	20.0	309	307	4	
