concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
concours_ecole_polytechnique	ecole_polytechnique	1297	27.7	24.8	251	19.9	25.1	162	17.9	24.1	130	16.9	26.2	74	73	130
concours_ecole_polytechnique	espci_paris	1396	29.8	24.9	417	21.8	24.0	369	21.1	23.0	55	40.0	9.1	210	206	55
concours_ecole_polytechnique	espci_paris_etranger	60	30.0	30.0	20	20.0	25.0	13	30.8	30.8	3	33.3	33.3	7	8	2
banque_ens	ens_ulm	1175	27.9	28.1	103	11.7	35.9	66	13.6	33.3	17	17.6	23.5	30	31	17
banque_ens	ens_paris_saclay_pc	1402	27.9	26.5	270	17.4	35.2	160	18.8	34.4	18	11.1	55.6	123	113	18
banque_ens	ens_de_lyon	1278	27.8	27.5	250	17.2	34.4	157	18.5	32.5	27	25.9	37.0	103	98	27
banque_centrale_supelec	centralesupélec_statut_étudiant	2552	30.4	23.3	664	23.9	22.0	647	24.3	22.4	160	23.8	18.8	233	228	152
banque_centrale_supelec	centralesupélec_statut_étudiant_étr.	103	35.0	28.2	36	25.0	38.9	36	25.0	38.9	10	40.0	80.0	14	14	8
banque_centrale_supelec	centrale_lyon	2782	31.8	23.1	641	24.3	23.1	627	24.7	23.4	58	24.1	34.5	447	447	62
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)	1702	32.0	27.0	555	28.1	25.8	537	28.7	25.3	30	23.3	40.0	457	422	45
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)_étr.	54	50.0	37.0	14	57.1	57.1	14	57.1	57.1	0	0.0	0.0	0	0	2
banque_centrale_supelec	centrale_lille	2694	32.0	25.0	717	28.2	27.3	696	28.6	27.2	48	39.6	37.5	522	485	50
banque_centrale_supelec	centrale_nantes	2790	31.9	24.0	522	24.5	25.5	512	24.8	25.8	52	25.0	17.3	454	441	55
banque_centrale_supelec	centrale_marseille	2845	33.0	24.4	1078	31.7	24.4	1028	32.2	24.7	76	44.7	30.3	762	723	80
banque_centrale_supelec	centrale_casablanca	412	27.2	29.4	76	18.4	36.8	68	19.1	39.7	0	0.0	0.0	0	0	2
banque_centrale_supelec	centralesupélec_campus_étudiant_ci										5	20.0	0.0	3	3	5
banque_centrale_supelec	centrale_lyon_ci										1	0.0	0.0	6	6	1
banque_centrale_supelec	centrale_lille_ci										1	0.0	0.0	8	8	1
banque_centrale_supelec	centrale_nantes_ci										1	0.0	0.0	7	7	5
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)_ci										3	0.0	0.0	13	13	2
banque_centrale_supelec	centrale_marseille_ci										2	0.0	0.0	10	10	2
banque_centrale_supelec	Concours Cycle International Centrale-Supelec PC	34	26.5	5.9	17	17.6	0.0	17	17.6	0.0	13					16
banque_centrale_supelec	centrale_casablanca_ci				0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0
banque_centrale_supelec	arts_et_métiers										0	0.0	0.0	0	0	20
banque_centrale_supelec	arts_et_métiers_voie_de_l'apprentissage										0	0.0	0.0	0	0	1
banque_centrale_supelec	Concours ARTS ET MÃ‰TIERS ParisTech PC	1734	31.0	26.8	188	24.5	39.9	56	30.4	41.1	0					21
banque_centrale_supelec	ensea_cergy	1734	31.0	26.8	1241	31.3	29.0	817	31.9	26.7	15	46.7	26.7	743	705	30
banque_centrale_supelec	université_de_technologie_de_troyes_(utt)	603	34.0	22.7	186	36.6	17.7	147	36.7	17.0	3	0.0	0.0	130	129	20
banque_centrale_supelec	epf_campus_troyes										14	35.7	21.4	267	270	10
banque_centrale_supelec	epf_campus_montpellier										6	66.7	16.7	197	189	4
banque_centrale_supelec	epf_campus_sceaux										9	33.3	22.2	219	181	6
banque_centrale_supelec	Concours EPF Sceaux-Troyes-Montpellier PC	470	44.7	19.8	404	44.3	20.5	297	48.8	20.9	29					20
banque_centrale_supelec	estp_paris_travaux_publics_(tp)_campus_de_cachan										49	20.4	20.4	514	480	60
banque_centrale_supelec	estp_paris_bâtiment_(b)_campus_de_cachan										55	36.4	12.7	493	474	57
banque_centrale_supelec	estp_paris_génie_mécanique_et_electrique(gme)										10	50.0	10.0	618	564	30
banque_centrale_supelec	estp_paris_topographie_(t)										1	100.0	0.0	523	523	20
banque_centrale_supelec	estp_paris_bâtiment_(b)_campus_de_troyes										6	16.7	33.3	622	617	12
banque_centrale_supelec	estp_paris_travaux_publics_(tp)_campus_de_dijon										4	25.0	25.0	630	558	5
banque_centrale_supelec	Concours ESTP PC	1172	34.0	23.0	876	35.2	22.5	643	35.6	20.7	125					184
banque_centrale_supelec	ecole_navale_brest	491	22.2	28.5	159	25.2	39.0	60	16.7	56.7	17	5.9	64.7	29	31	17
concours_commun_mines_ponts	ensae_paristech										10	40.0	30.0	562	542	8
concours_commun_mines_ponts	ensta_paristech										37	29.7	29.7	494	477	35
concours_commun_mines_ponts	ensta_paristech_apprentissage										1	0.0	0.0	565	565	2
concours_commun_mines_ponts	imt_atlantique_cursus_brest_nantes_rennes_toulouse										72	23.6	33.3	1040	976	67
concours_commun_mines_ponts	imt_atlantique_cursus_sophia_antipolis										4	75.0	50.0	984	787	3
concours_commun_mines_ponts	isae_supaero_toulouse										36	36.1	33.3	333	322	35
concours_commun_mines_ponts	mines_de_nancy										37	35.1	27.0	722	708	42
concours_commun_mines_ponts	mines_saint_etienne										37	29.7	32.4	848	844	41
concours_commun_mines_ponts	mines_paristech										24	33.3	12.5	64	62	24
concours_commun_mines_ponts	ponts_paristech										40	32.5	10.0	286	268	38
concours_commun_mines_ponts	telecom_paristech_cursus_paris										22	40.9	18.2	488	457	23
concours_commun_mines_ponts	telecom_paristech_cursus_sophia										8	12.5	25.0	599	587	8
concours_commun_mines_ponts	chimie_paristech										64	57.8	18.8	754	675	65
concours_commun_mines_ponts	Concours CCMP PC	3637	33.2	22.2	1232	27.8	24.1	1206	27.9	24.5	392					391
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_ensc_cognitique										4	0.0	50.0	1750	1723	4
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_enseirb_matmeca_electronique										16	6.2	18.8	2046	1990	13
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_enseirb_matmeca_informatique										7	0.0	28.6	1450	1417	5
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_enseirb_matmeca_mathématiques_et_mécanique										9	11.1	55.6	1688	1655	6
ccinp_:_ecoles_recrutant_sur_le_concours_physique	bordeaux_inp_enseirb_matmeca_télecom.										12	25.0	33.3	2236	2136	8
ccinp_:_ecoles_recrutant_sur_le_concours_physique	cpe_lyon_sciences_du_numérique										18	27.8	27.8	2958	2835	8
ccinp_:_ecoles_recrutant_sur_le_concours_physique	eisti_cergy_pau										26	15.4	42.3	2855	2692	15
ccinp_:_ecoles_recrutant_sur_le_concours_physique	enac_toulouse_civil										17	29.4	47.1	773	812	19
ccinp_:_ecoles_recrutant_sur_le_concours_physique	enac_toulouse_fonctionnaire										4	0.0	25.0	234	246	4
ccinp_:_ecoles_recrutant_sur_le_concours_physique	engees_strasbourg_civil_(apprenti)										2	0.0	50.0	3050	3050	2
ccinp_:_ecoles_recrutant_sur_le_concours_physique	engees_strasbourg_civil_(étudiant)										12	41.7	25.0	2280	2208	10
ccinp_:_ecoles_recrutant_sur_le_concours_physique	engees_strasbourg_fonctionnaire										3	66.7	33.3	1606	1574	3
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensgti_pau_génie_des_procédés										14	50.0	14.3	2994	2929	12
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensi_poitiers_energie										24	45.8	33.3	2961	2809	17
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensiame_valenciennes_méca_energ.										20	40.0	15.0	2888	2733	20
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensiame_valenciennes_mécatronique										9	22.2	33.3	2889	2865	5
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensicaen_electronique_et_physique_appliquée										18	5.6	33.3	2676	2514	15
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensicaen_informatique										8	12.5	12.5	2361	2387	8
ccinp_:_ecoles_recrutant_sur_le_concours_physique	ensmm_besanã§on										19	47.4	42.1	2530	2423	25
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_ense3										57	35.1	10.5	1300	1258	60
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_pagora										24	54.2	33.3	2900	2814	18
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_phelma_(physique_electronique_télécoms)										32	25.0	34.4	969	947	35
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_phelma_(physique_matériaux_procédés)										70	31.4	28.6	864	832	66
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_ensimag										10	50.0	40.0	457	465	10
ccinp_:_ecoles_recrutant_sur_le_concours_physique	grenoble_inp_esisar										4	0.0	75.0	2068	2031	6
ccinp_:_ecoles_recrutant_sur_le_concours_physique	isae_ensma_poitiers										27	25.9	29.6	1120	1010	28
ccinp_:_ecoles_recrutant_sur_le_concours_physique	isima_clermont_ferrand										5	0.0	20.0	2587	2447	8
ccinp_:_ecoles_recrutant_sur_le_concours_physique	lorraine_inp_ensem_energie										18	27.8	50.0	2685	2599	24
ccinp_:_ecoles_recrutant_sur_le_concours_physique	lorraine_inp_ensem_spécialité_des_systèmes_numériques										4	25.0	75.0	2743	2698	5
ccinp_:_ecoles_recrutant_sur_le_concours_physique	seatech_toulon										17	35.3	23.5	2221	2165	18
ccinp_:_ecoles_recrutant_sur_le_concours_physique	supmeca_paris										26	26.9	42.3	1645	1560	20
ccinp_:_ecoles_recrutant_sur_le_concours_physique	telecom_physique_strasbourg										35	34.3	31.4	1961	1821	31
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_enseeiht_electronique_energie_automatique_(eea)										19	21.1	15.8	1276	1228	20
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_enseeiht_mécanique_des fluides_energetique_environnement_(mfee)										17	17.6	41.2	811	746	16
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_enseeiht_sciences_du_numérique										9	22.2	66.7	746	732	7
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_ensiacet_génie_des_procédés										20	35.0	20.0	2200	2096	17
ccinp_:_ecoles_recrutant_sur_le_concours_physique	toulouse_inp_ensiacet_génie_industriel										12	25.0	16.7	1769	1785	10
ccinp_:_ecoles_recrutant_sur_le_concours_physique	Concours CCINP PC-Physique	4880	35.6	21.7	3743	35.8	23.7	3300	37.2	23.7	648					598
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	bordeaux_inp_enscbp_chimie_génie_physique										37	59.5	13.5	1849	1797	42
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	cpe_lyon_chimie_â€“_génie_des_procédés										44	63.6	31.8	2648	2532	45
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ecpm_esbs_strasbourg_chembiotech										5	100.0	20.0	929	836	5
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ecpm_strasbourg										38	65.8	18.4	1144	1069	42
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensc_lille										42	50.0	28.6	1758	1646	40
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensc_montpellier										60	63.3	21.7	725	713	60
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensc_mulhouse										28	67.9	25.0	2002	1990	35
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensc_rennes										39	66.7	17.9	2053	1906	40
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensi_poitiers_génie_de_l'eau_et_génie_civil										25	32.0	32.0	2927	2848	21
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensicaen_mat._et_chimie										38	42.1	44.7	2509	2502	30
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	lorraine_inp_ensic										55	63.6	14.5	1900	1894	50
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	sigma_clermont_ferrand_(ex_ensccf)										35	62.9	25.7	2345	2283	36
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	toulouse_inp_ensiacet_chimie										32	71.9	25.0	1295	1286	30
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	toulouse_inp_ensiacet_génie_chimique										34	47.1	23.5	1689	1607	34
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	toulouse_inp_ensiacet_matériaux										34	41.2	20.6	1940	1827	33
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	Concours CCINP PC-Chimie	4658	37.1	21.7	3543	37.3	23.9	3086	38.6	23.4	546					543
banque_epreuves_ccinp_inter_filière	lorraine_inp_eeigm	441	48.3	17.9	265	49.1	20.8	23	65.2	13.0	5	100.0	20.0	47	44	10
banque_epreuves_ccinp_inter_filière	ensil_ensci_limoges_céramique_industrielle	482	44.2	20.5	408	45.8	21.6	102	43.1	24.5	22	31.8	27.3	126	115	45
banque_epreuves_ccinp_inter_filière	lorraine_inp_ensgsi	601	45.4	19.6	401	46.1	20.4	76	48.7	23.7	14	50.0	21.4	96	89	35
banque_epreuves_ccinp_inter_filière	esm_saint_cyr	473	20.7	26.2	130	20.8	36.9	43	16.3	48.8	15	6.7	33.3	82	84	76
banque_epreuves_ccinp_inter_filière	grenoble_inp_génie_industriel	1004	39.3	21.4	360	38.9	26.7	56	44.6	23.2	7	14.3	28.6	124	161	76
banque_epreuves_ccinp	ecole_de_l'air_base	470	26.0	27.2	158	25.9	37.3	30	26.7	56.7	1	0.0	0.0	12	12	1
banque_epreuves_ccinp	ecole_de_l'air_méca	423	25.3	27.7	141	25.5	38.3	27	25.9	59.3	3	66.7	100.0	19	19	3
banque_epreuves_ccinp	ecole_de_l'air_pilote	524	24.6	26.0	164	23.8	33.5	26	19.2	50.0	12	8.3	66.7	10	10	12
banque_epreuves_ccinp	ensisa_mulhouse_automatique_et_systèmes_embarqués										6	0.0	33.3	42	50	4
banque_epreuves_ccinp	ensisa_mulhouse_informatique_et_réseaux										4	25.0	50.0	53	53	4
banque_epreuves_ccinp	ensisa_mulhouse_mécanique										8	25.0	37.5	60	57	5
banque_epreuves_ccinp	ensisa_mulhouse_textile_et_fibres										8	50.0	25.0	46	44	9
banque_epreuves_ccinp	Concours ENSISA PC	751	45.3	18.5	640	46.4	19.2	93	47.3	17.2	26					22
banque_epreuves_ccinp	eost_strasbourg	529	46.7	19.3	357	48.2	21.6	57	50.9	22.8	13	38.5	15.4	34	34	12
banque_epreuves_ccinp	escom_chimie_compiègne	1079	53.3	16.8	608	58.2	18.6	68	72.1	22.1	13	53.8	46.2	53	45	20
