concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
concours_ecole_polytechnique	ecole_polytechnique	1298	26.5	27.6				159	19.5	20.8	130	18.5	18.5	70	70	130	
concours_ecole_polytechnique	espci_paris	1374	29.7	27.0				376	24.5	23.4	49	28.6	24.5	254	256	55	
concours_ecole_polytechnique	espci_paris_etranger	68	29.4	23.5				19	21.1	21.1	2	0.0	50.0	12	12	2	
banque_ens	ens_ulm	1237	26.5	29.3				73	16.4	24.7	18	22.2	27.8	38	38	18	
banque_ens	ens_paris_saclay_pc	1447	27.6	28.3				319	21.3	29.8	18	16.7	44.4	185	184	18	
banque_ens	ens_de_lyon	1295	27.3	29.5				202	23.3	35.1	28	21.4	42.9	147	131	28	
banque_centrale_supelec	centralesupélec_statut_étudiant	2496	30.1	23.8				1852	29.3	24.0	170	24.1	25.9	254	246	167	
banque_centrale_supelec	centralesupélec_statut_étudiant_étr.	106	27.4	25.5				56	23.2	32.1	10	30.0	40.0	16	16	10	
banque_centrale_supelec	centrale_lyon	2760	31.7	23.2				1982	30.1	23.2	63	39.7	33.3	483	484	62	
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)	1601	32.2	26.9				1133	31.8	26.8	46	32.6	39.1	561	534	45	
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)_étr.	57	26.3	29.8				29	17.2	34.5	1	0.0	100.0	23	23	2	
banque_centrale_supelec	centrale_lille	2656	32.8	24.5				1768	31.7	25.0	58	27.6	37.9	588	589	50	
banque_centrale_supelec	centrale_nantes	2681	32.3	23.6				1847	31.5	23.9	51	29.4	31.4	530	507	55	
banque_centrale_supelec	centrale_marseille	2991	35.2	22.8				1878	32.7	22.5	91	39.6	28.6	942	933	80	
banque_centrale_supelec	centrale_casablanca	433	29.3	30.3				162	23.5	37.0	0	0.0	0.0	0	0	2	
banque_centrale_supelec	centralesupélec_statut_étudiant_ci										5	40.0	20.0	3	3	5	
banque_centrale_supelec	centrale_lyon__ci										1	0.0	0.0	6	6	1	
banque_centrale_supelec	centrale_lille__ci										1	100.0	0.0	8	8	1	
banque_centrale_supelec	centrale_nantes__ci										1	0.0	0.0	7	7	5	
banque_centrale_supelec	institut_d'optique_graduate_school_(supoptique)_ci										0	0.0	0.0	17	17	2	
banque_centrale_supelec	centrale_marseille_ci										2	50.0	0.0	11	11	2	
banque_centrale_supelec	Concours Cycle International Centrale-Supelec PC	28	50.0	7.1				23	47.8	8.7	10					16	
banque_centrale_supelec	centrale_casablanca_ci							0	0.0	0.0	0	0.0	0.0	0	0	0	
banque_centrale_supelec	arts_et_métiers										22	27.3	45.5	484	496	20	
banque_centrale_supelec	arts_et_métiers_voie_de_l'apprentissage										0	0.0	0.0	0	0	2	
banque_centrale_supelec	Concours ARTS ET MÃ‰TIERS ParisTech PC	1639	32.3	25.5				912	31.9	29.1	22					22	
banque_centrale_supelec	ensea_cergy	1639	32.3	25.5				1307	33.3	26.4	29	24.1	27.6	953	919	30	
banque_centrale_supelec	université_de_technologie_de_troyes_(utt)	681	35.1	22.8				349	35.5	20.6	10	20.0	50.0	291	295	20	
banque_centrale_supelec	epf_campus_troyes										5	20.0	40.0	499	488	8	
banque_centrale_supelec	epf_campus_montpellier										9	55.6	11.1	418	371	5	
banque_centrale_supelec	epf_campus_sceaux										11	54.5	45.5	312	329	6	
banque_centrale_supelec	Concours EPF Sceaux-Troyes-Montpellier PC	651	45.9	22.1				543	47.7	22.5	25					19	
banque_centrale_supelec	estp_paris_travaux_publics_(tp)_campus_de_cachan										37	21.6	18.9	774	716	60	
banque_centrale_supelec	estp_paris_bâtiment_(b)_campus_de_cachan										56	39.3	26.8	717	704	57	
banque_centrale_supelec	estp_paris_génie_mécanique_et_electrique(gme)										18	38.9	16.7	867	781	30	
banque_centrale_supelec	estp_paris_topographie_(t)										2	50.0	0.0	619	619	8	
banque_centrale_supelec	estp_paris_bâtiment_(b)_campus_de_troyes										2	50.0	50.0	838	838	12	
banque_centrale_supelec	estp_paris_travaux_publics_(tp)_campus_de_dijon										1	100.0	0.0	752	752	8	
banque_centrale_supelec	Concours ESTP PC	1236	32.8	26.2				959	33.3	25.7	116					175	
banque_centrale_supelec	ecole_navale_brest	497	21.7	28.4				91	18.7	45.1	17	17.6	47.1	37	36	17	
concours_commun_mines_ponts	ensae_paris										6	33.3	50.0	568	574	8	
concours_commun_mines_ponts	ensta_paris										39	35.9	12.8	529	522	35	
concours_commun_mines_ponts	ensta_paris_apprentissage										3	0.0	100.0	701	703	2	
concours_commun_mines_ponts	imt_atlantique_cursus_brest_nantes_rennes_toulouse										76	25.0	21.1	1041	976	68	
concours_commun_mines_ponts	imt_atlantique_cursus_sophia_antipolis										5	40.0	0.0	935	949	3	
concours_commun_mines_ponts	isae_supaero_toulouse										30	20.0	20.0	403	393	35	
concours_commun_mines_ponts	mines_de_nancy										39	28.2	7.7	787	781	38	
concours_commun_mines_ponts	mines_saint_etienne										42	35.7	23.8	874	850	41	
concours_commun_mines_ponts	mines_paristech										25	44.0	8.0	102	99	24	
concours_commun_mines_ponts	ponts_paristech										41	36.6	12.2	300	294	40	
concours_commun_mines_ponts	telecom_paris_cursus_paris										20	25.0	10.0	447	419	20	
concours_commun_mines_ponts	telecom_paris_cursus_sophia										10	50.0	40.0	556	556	8	
concours_commun_mines_ponts	chimie_paristech										68	48.5	10.3	756	737	65	
concours_commun_mines_ponts	Concours CCMP PC	3497	33.4	21.9				1351	29.2	23.4	404					387	
concours_mines_télécom	telecom_st_etienne_statut_apprenti	3680	35.1	22.4				2760	36.2	22.8	2	50.0	50.0	1582	1582	2	
