concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
centrale_supelec	centralesupélec_cursus_apprenti_campus_metz										11	0.0	9.1	124	126	10
centrale_supelec	centrale_casablanca										2	0.0	0.0	685	685	5
centrale_supelec	centralesupélec_cursus_apprenti_campus_rennes										10	10.0	0.0	75	72	10
centrale_supelec	centralesupélec_statut_étudiant										20	5.0	10.0	26	26	20
centrale_supelec	centrale_lyon										24	8.3	4.2	86	88	24
centrale_supelec	institut_d'optique_graduate_school_(supoptique)										16	12.5	12.5	718	663	10
centrale_supelec	centrale_lille										12	0.0	16.7	169	165	12
centrale_supelec	centrale_nantes										8	12.5	0.0	56	58	20
centrale_supelec	centrale_marseille										5	0.0	0.0	257	226	5
centrale_supelec	Concours Centrale-SupÃ©lec PT	1497	14.0	15.9				1482	14.2	15.8	108					116
concours_commun_mines_ponts	ensta_paris										10	10.0	20.0	75	81	12
concours_commun_mines_ponts	ensta_paris_apprentissage										3	0.0	0.0	148	158	4
concours_commun_mines_ponts	imt_atlantique_cursus_brest_nantes_rennes_toulouse										8	25.0	12.5	159	149	6
concours_commun_mines_ponts	imt_atlantique_cursus_sophia_antipolis										0	0.0	0.0	0	0	1
concours_commun_mines_ponts	isae_supaero_toulouse										6	0.0	0.0	50	52	6
concours_commun_mines_ponts	mines_de_nancy										4	25.0	25.0	170	172	4
concours_commun_mines_ponts	mines_saint_etienne										7	14.3	0.0	178	172	5
concours_commun_mines_ponts	mines_paristech										5	0.0	20.0	10	12	5
concours_commun_mines_ponts	ponts_paristech										5	40.0	0.0	49	42	5
concours_commun_mines_ponts	telecom_paris_cursus_paris										1	0.0	0.0	48	48	1
concours_commun_mines_ponts	telecom_paris_cursus_sophia										1	0.0	100.0	62	62	1
concours_commun_mines_ponts	Concours commun Mines-Ponts PT	1290	14.6	15.3				246	11.8	8.1	50					50
concours_mines_télécom	imt_mines_albi										6	33.3	16.7	556	552	5
concours_mines_télécom	imt_mines_alès										23	26.1	4.3	641	585	23
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_étudiant)										15	26.7	6.7	208	206	15
concours_mines_télécom	imt_lille_douai										14	7.1	7.1	562	557	20
concours_mines_télécom	mines_saint_etienne_ismin										7	0.0	0.0	493	464	7
concours_mines_télécom	telecom_sudparis										7	14.3	14.3	229	217	7
concours_mines_télécom	Concours Mines-TÃ©lÃ©com PT	1832	15.7	16.7				715	13.1	16.8	72					77
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_ieta_direction_générale_de_l'armement)	1832	15.7	16.7				602	12.5	19.9	3	33.3	33.3	59	60	3
concours_mines_télécom	ensg_géomatique_marne_la_vallée_civil										3	66.7	0.0	952	966	2
concours_mines_télécom	enssat_lannion										2	0.0	0.0	880	880	5
concours_mines_télécom	telecom_nancy										8	25.0	37.5	772	787	10
concours_mines_télécom	telecom_st_etienne_statut_étudiant										4	50.0	50.0	739	750	5
concours_mines_télécom	Concours Mines-TÃ©lÃ©com SpÃ©cifique PT	1832	15.7	16.7				1184	14.5	18.9	17					22
concours_commun_ensam	arts_et_métiers										549	11.8	24.2	535	529	540
concours_commun_ensam	arts_et_métiers_ingénieurs_militaires										7	0.0	28.6	717	645	10
concours_commun_ensam	arts_et_métiers_voie_de_l'apprentissage										5	20.0	40.0	387	474	15
concours_commun_ensam	ensea_cergy										17	5.9	47.1	1205	1137	20
concours_commun_ensam	Concours ARTS ET MÃ‰TIERS ParisTech PT	2259	14.2	16.3				1400	12.5	19.4	578					585
concours_ecole_polytechnique	ecole_polytechnique	380	12.9	12.6				13	15.4	0.0	11	18.2	0.0	6	6	11
concours_ens_de_cachan	ens_paris_saclay	1666	13.3	16.9				295	9.5	16.9	37	18.9	27.0	147	149	37
concours_ens_de_cachan	ens_rennes	1592	13.0	17.3				385	9.9	20.3	10	0.0	30.0	237	229	10
concours_commun_inp	bordeaux_inp_enseirb_matmeca_electronique										9	0.0	22.2	976	933	4
concours_commun_inp	bordeaux_inp_enspima										2	0.0	0.0	817	817	1
concours_commun_inp	bordeaux_inp_enseirb_matmeca_informatique										4	0.0	0.0	706	671	1
concours_commun_inp	bordeaux_inp_enseirb_matmeca_mathématiques_et_mécanique										7	42.9	28.6	770	755	6
concours_commun_inp	bordeaux_inp_enseirb_matmeca_télecom.										4	25.0	25.0	1036	979	1
concours_commun_inp	cpe_lyon_sciences_du_numérique										2	0.0	50.0	1192	1192	2
concours_commun_inp	eisti_cergy_pau										5	0.0	0.0	1270	1183	5
concours_commun_inp	enac_toulouse_civil										3	0.0	33.3	698	606	2
concours_commun_inp	engees_strasbourg_civil_(étudiant)										4	25.0	25.0	1090	1124	2
