concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
centrale_supelec	centralesupélec_cursus_apprenti_campus_metz										11	9.1	18.2	168	164	10	
centrale_supelec	centrale_casablanca										0	0.0	0.0	0	0	5	
centrale_supelec	centralesupélec_cursus_apprenti_campus_rennes										11	0.0	9.1	90	93	10	
centrale_supelec	centralesupélec_statut_étudiant										25	28.0	8.0	29	28	25	
centrale_supelec	centrale_lyon										24	16.7	0.0	105	104	24	
centrale_supelec	institut_d'optique_graduate_school_(supoptique)										6	33.3	0.0	429	405	13	
centrale_supelec	centrale_lille										11	0.0	0.0	191	189	12	
centrale_supelec	centrale_nantes										21	4.8	9.5	135	114	10	
centrale_supelec	centrale_marseille										5	0.0	20.0	225	242	5	
centrale_supelec	Concours Centrale-SupÃ©lec PT	1453	14.3	14.7	534	10.3	12.9	528	10.2	13.1	114					114	
concours_commun_mines_ponts	ensta_paris										12	0.0	0.0	97	92	12	
concours_commun_mines_ponts	ensta_paris_apprentissage										5	0.0	0.0	159	153	4	
concours_commun_mines_ponts	imt_atlantique										14	0.0	7.1	182	177	13	
concours_commun_mines_ponts	isae_supaero_toulouse										6	0.0	0.0	68	63	6	
concours_commun_mines_ponts	mines_de_nancy										3	0.0	0.0	197	175	4	
concours_commun_mines_ponts	mines_saint_etienne										5	0.0	0.0	196	192	6	
concours_commun_mines_ponts	mines_paris										5	0.0	0.0	18	18	5	
concours_commun_mines_ponts	ponts_paristech										7	0.0	0.0	49	46	5	
concours_commun_mines_ponts	telecom_paris										3	0.0	0.0	53	54	4	
concours_commun_mines_ponts	Concours commun Mines-Ponts PT	1268	14.1	14.6	254	8.3	6.3	253	8.3	6.3	60					59	
concours_mines_télécom	ensg_géomatique_marne_la_vallée_civil	1850	15.4	15.8	1082	15.0	17.4	641	16.4	20.1	2	0.0	50.0	557	557	2	
concours_mines_télécom	enssat_lannion	1850	15.4	15.8	1082	15.0	17.4	641	16.4	20.1	1	0.0	100.0	575	575	4	
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_étudiant)	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	12	8.3	33.3	173	154	12	
concours_mines_télécom	ensta_bretagne_(filière_sous_statut_ieta_direction_générale_de_l'armement)	1850	15.4	15.8	617	12.8	21.6	438	14.6	24.7	4	25.0	50.0	118	108	4	
concours_mines_télécom	imt_lille_douai	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	13	0.0	23.1	474	457	15	
concours_mines_télécom	imt_mines_albi	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	6	16.7	50.0	324	325	5	
concours_mines_télécom	imt_mines_alès	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	22	9.1	9.1	393	363	22	
concours_mines_télécom	mines_saint_etienne_ismin	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	12	8.3	8.3	315	291	7	
concours_mines_télécom	telecom_nancy	1850	15.4	15.8	1082	15.0	17.4	641	16.4	20.1	7	0.0	42.9	459	402	5	
concours_mines_télécom	telecom_st_etienne_statut_étudiant	1850	15.4	15.8	1082	15.0	17.4	641	16.4	20.1	7	0.0	14.3	484	461	5	
concours_mines_télécom	telecom_sudparis	1850	15.4	15.8	715	13.7	18.6	519	15.2	20.8	6	0.0	16.7	124	118	7	
concours_commun_ensam	arts_et_métiers										550	15.5	20.7	558	543	542	
concours_commun_ensam	arts_et_métiers_ingénieurs_militaires										9	0.0	33.3	490	569	8	
concours_commun_ensam	ensea_cergy										6	33.3	0.0	1127	1028	20	
concours_commun_ensam	Concours ARTS ET MÃ‰TIERS ParisTech PT	2294	14.9	14.4	1280	13.0	16.9	1247	12.9	16.9	565					570	
concours_ecole_polytechnique	ecole_polytechnique	403	12.2	11.7	22	0.0	0.0	14	0.0	0.0	11	0.0	0.0	6	6	11	
concours_ens_de_cachan	ens_paris_saclay	1477	16.3	16.9	377	7.7	19.4	282	9.2	14.9	35	5.7	22.9	193	178	35	
concours_ens_de_cachan	ens_rennes	1433	16.3	17.2	385	7.5	20.0	331	8.2	19.0	7	14.3	14.3	270	247	7	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_electronique										7	0.0	0.0	972	926	4	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_informatique										3	0.0	0.0	729	729	1	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_mathématiques_et_mécanique										7	14.3	14.3	790	761	6	
concours_commun_inp	bordeaux_inp_enseirb_matmeca_télecom.										4	25.0	50.0	959	892	1	
concours_commun_inp	bordeaux_inp_enspima										1	0.0	0.0	995	995	1	
concours_commun_inp	cpe_lyon_sciences_du_numérique										3	33.3	0.0	1238	1163	2	
concours_commun_inp	cy_tech_cergy_génie_civil										4	0.0	25.0	1360	1358	5	
concours_commun_inp	cy_tech_cergy_pau_informatique										8	0.0	25.0	1176	1200	5	
concours_commun_inp	enac_toulouse_civil										2	0.0	0.0	595	595	2	
concours_commun_inp	engees_strasbourg_civil_(étudiant)										2	0.0	0.0	1056	1056	2	
concours_commun_inp	ensi_poitiers_génie_de_l'eau_et_génie_civil										3	33.3	0.0	1223	1228	2	
concours_commun_inp	ensi_poitiers_energie										4	0.0	25.0	1342	1312	6	
concours_commun_inp	ensicaen_electronique_et_physique_appliquée										3	33.3	33.3	1281	1259	5	
concours_commun_inp	ensicaen_informatique										5	20.0	40.0	1161	1123	5	
concours_commun_inp	ensil_ensci_limoges_céramique_industrielle										1	0.0	0.0	1428	1428	2	
concours_commun_inp	ensmm_besanã§on										42	21.4	7.1	1136	1105	44	
concours_commun_inp	grenoble_inp_ense3										17	5.9	11.8	653	605	15	
concours_commun_inp	grenoble_inp_pagora										1	0.0	0.0	780	780	1	
