concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Ecole Polytechnique	Ecole Polytechnique Info.	857	12.6	22.5	231	13.4	20.3	147	14.3	18.4	103	18.4	17.5	78	75	103
Concours Ecole Polytechnique	Ecole Polytechnique P&Si	772	20.5	29.0	192	17.7	20.8	102	22.5	14.7	81	21.0	16.0	49	49	81
Banque Ens	Ens Ulm Mpi	1694	18.8	27.9	143	6.3	25.9	95	9.5	22.1	38	10.5	21.1	34	37	38
Banque Ens	Ens Ulm Info.	362	13.5	24.9	45	11.1	24.4	25	16.0	24.0	13	15.4	30.8	12	11	13
Banque Ens	Ens Paris-Saclay Mp	1834	19.2	27.3	271	10.3	26.2	190	12.1	24.7	18	11.1	50.0	144	139	18
Banque Ens	Ens Paris-Saclay Info.	372	12.9	22.3	105	11.4	23.8	75	12.0	26.7	14	7.1	35.7	58	52	14
Banque Ens	Ens De Lyon Mpi	1831	19.7	27.9	249	9.2	28.1	159	12.6	26.4	20	5.0	35.0	92	83	20
Banque Ens	Ens De Lyon Info.	393	12.7	22.1	123	8.9	21.1	71	11.3	19.7	22	22.7	18.2	45	44	22
Banque Ens	Ens Rennes Mp	1704	19.9	28.0	309	14.6	29.1	257	16.0	28.8	12	16.7	50.0	210	207	12
Banque Ens	Ens Rennes Info.	359	13.9	22.0	101	11.9	18.8	87	12.6	19.5	8	0.0	50.0	62	57	9
Banque Centrale-Supelec	Centralesupélec - Campus Gif	3431	20.7	24.9	898	17.7	20.5	850	17.6	20.8	248	16.1	21.0	379	362	250
Banque Centrale-Supelec	Centralesupélec - Campus Gif - Étr.	202	23.3	27.7	74	13.5	25.7	74	13.5	25.7	24	20.8	45.8	46	44	20
Banque Centrale-Supelec	Centrale Lyon	3691	21.5	25.0	1107	17.4	21.9	1061	17.8	22.0	115	20.0	28.7	689	682	127
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)	1646	24.5	27.9	671	22.8	24.3	636	22.2	24.4	25	24.0	4.0	477	490	40
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Étr.	66	39.4	40.9	39	38.5	46.2	36	38.9	47.2	3	66.7	100.0	24	22	2
Banque Centrale-Supelec	Centrale Lille	3278	22.8	26.1	970	19.5	25.5	933	19.2	25.9	90	23.3	22.2	747	709	90
Banque Centrale-Supelec	Centrale Nantes	3529	22.7	25.2	853	18.2	24.4	829	18.5	24.6	111	17.1	22.5	676	652	135
Banque Centrale-Supelec	Centrale Marseille	3198	22.9	25.8	1202	20.2	23.5	1106	20.2	23.2	72	18.1	30.6	852	817	80
Banque Centrale-Supelec	Centrale Casablanca	481	20.4	34.1	61	13.1	27.9	58	13.8	29.3	0	0.0	0.0	0	0	8
Banque Centrale-Supelec	Ecole Navale Brest	517	18.0	30.8	194	13.4	43.3	78	15.4	46.2	31	6.5	51.6	31	32	31
Banque Centrale-Supelec	Ensea Cergy	1301	24.1	26.5	958	23.5	24.4	532	24.1	21.6	39	23.1	38.5	426	416	60
Banque Centrale-Supelec	Université De Technologie De Troyes (Utt)	523	23.5	24.5	167	22.2	13.2	110	20.0	11.8	0	0.0	0.0	0	0	20
Banque Centrale-Supelec	Centralesupélec - Campus Gif - Ci										25	20.0	24.0	24	23	20
Banque Centrale-Supelec	Centrale Lyon - Ci										7	28.6	14.3	43	43	8
Banque Centrale-Supelec	Centrale Lille - Ci										3	0.0	66.7	54	53	3
Banque Centrale-Supelec	Centrale Nantes - Ci										2	50.0	50.0	50	50	5
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Ci										5	0.0	40.0	99	99	3
Banque Centrale-Supelec	Centrale Marseille - Ci										2	0.0	50.0	65	65	2
Banque Centrale-Supelec	Concours_Cycle_International_Centralesupélec	815	31.9	10.7	252	23.0	11.9	218	21.6	13.3	44					41
Banque Centrale-Supelec	Centrale Casablanca - Ci	815	31.9	10.7	252	23.0	11.9	216	21.8	13.4	12	8.3	8.3	159	166	55
Concours Commun Mines-Ponts	Ensae Paristech										55	20.0	43.6	976	943	55
Concours Commun Mines-Ponts	Ensta Paristech										58	29.3	24.1	800	772	60
Concours Commun Mines-Ponts	Imt Atlantique Cursus Sophia Antipolis										3	33.3	0.0	1333	1279	3
Concours Commun Mines-Ponts	Imt Atlantique Cursus Brest-Nantes-Rennes-Toulouse										81	24.7	13.6	1501	1478	85
Concours Commun Mines-Ponts	Isae - Supaero Toulouse										78	28.2	19.2	691	652	75
Concours Commun Mines-Ponts	Mines De Nancy										48	29.2	16.7	1139	1111	52
Concours Commun Mines-Ponts	Mines De Saint-Etienne										49	28.6	34.7	1322	1274	48
Concours Commun Mines-Ponts	Mines Paristech										48	27.1	12.5	147	141	48
Concours Commun Mines-Ponts	Ponts Paristech										75	20.0	22.7	482	443	76
Concours Commun Mines-Ponts	Telecom Paristech Cursus Paris										61	16.4	18.0	663	620	65
Concours Commun Mines-Ponts	Telecom Paristech Cursus Sophia										12	8.3	8.3	875	839	18
Concours Commun Mines-Ponts	Concours_Commun_Mines_Ponts_Mp	5713	22.8	21.3	1907	18.7	20.8	1814	18.7	20.6	568					585
Concours Communs Polytechniques	Bordeaux Inp - Ensc Cognitique										10	70.0	30.0	2428	2335	8
Concours Communs Polytechniques	Bordeaux Inp - Enseirb-Matmeca Electronique										30	36.7	16.7	2464	2452	35
Concours Communs Polytechniques	Bordeaux Inp - Enseirb-Matmeca Informatique										53	18.9	20.8	2012	1921	52
Concours Communs Polytechniques	Bordeaux Inp - Enseirb-Matmeca Mathématiques Et Mécanique										40	20.0	25.0	2066	1955	34
