concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Ecole Polytechnique	Ecole Polytechnique	1298	26.5	27.6				159	19.5	20.8	130	18.5	18.5	70	70	130
Concours Ecole Polytechnique	Espci Paris	1374	29.7	27.0				376	24.5	23.4	49	28.6	24.5	254	256	55
Concours Ecole Polytechnique	Espci Paris Etranger	68	29.4	23.5				19	21.1	21.1	2	0.0	50.0	12	12	2
Banque Ens	Ens Ulm	1237	26.5	29.3				73	16.4	24.7	18	22.2	27.8	38	38	18
Banque Ens	Ens Paris-Saclay Pc	1447	27.6	28.3				319	21.3	29.8	18	16.7	44.4	185	184	18
Banque Ens	Ens De Lyon	1295	27.3	29.5				202	23.3	35.1	28	21.4	42.9	147	131	28
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant	2496	30.1	23.8				1852	29.3	24.0	170	24.1	25.9	254	246	167
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant - Étr.	106	27.4	25.5				56	23.2	32.1	10	30.0	40.0	16	16	10
Banque Centrale-Supelec	Centrale Lyon	2760	31.7	23.2				1982	30.1	23.2	63	39.7	33.3	483	484	62
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)	1601	32.2	26.9				1133	31.8	26.8	46	32.6	39.1	561	534	45
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Étr.	57	26.3	29.8				29	17.2	34.5	1	0.0	100.0	23	23	2
Banque Centrale-Supelec	Centrale Lille	2656	32.8	24.5				1768	31.7	25.0	58	27.6	37.9	588	589	50
Banque Centrale-Supelec	Centrale Nantes	2681	32.3	23.6				1847	31.5	23.9	51	29.4	31.4	530	507	55
Banque Centrale-Supelec	Centrale Marseille	2991	35.2	22.8				1878	32.7	22.5	91	39.6	28.6	942	933	80
Banque Centrale-Supelec	Centrale Casablanca	433	29.3	30.3				162	23.5	37.0	0	0.0	0.0	0	0	2
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant - Ci										5	40.0	20.0	3	3	5
Banque Centrale-Supelec	Centrale Lyon - Ci										1	0.0	0.0	6	6	1
Banque Centrale-Supelec	Centrale Lille - Ci										1	100.0	0.0	8	8	1
Banque Centrale-Supelec	Centrale Nantes - Ci										1	0.0	0.0	7	7	5
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Ci										0	0.0	0.0	17	17	2
Banque Centrale-Supelec	Centrale Marseille - Ci										2	50.0	0.0	11	11	2
Banque Centrale-Supelec	Concours_Cycle_International_Centrale_Supelec_Pc	28	50.0	7.1				23	47.8	8.7	10					16
Banque Centrale-Supelec	Centrale Casablanca - Ci							0	0.0	0.0	0	0.0	0.0	0	0	0
Banque Centrale-Supelec	Arts Et Métiers										22	27.3	45.5	484	496	20
Banque Centrale-Supelec	Arts Et Métiers - Voie De L'Apprentissage										0	0.0	0.0	0	0	2
Banque Centrale-Supelec	Concours_Arts_Et_Mã‰Tiers_Paristech_Pc	1639	32.3	25.5				912	31.9	29.1	22					22
Banque Centrale-Supelec	Ensea Cergy	1639	32.3	25.5				1307	33.3	26.4	29	24.1	27.6	953	919	30
Banque Centrale-Supelec	Université De Technologie De Troyes (Utt)	681	35.1	22.8				349	35.5	20.6	10	20.0	50.0	291	295	20
Banque Centrale-Supelec	Epf Campus Troyes										5	20.0	40.0	499	488	8
Banque Centrale-Supelec	Epf Campus Montpellier										9	55.6	11.1	418	371	5
Banque Centrale-Supelec	Epf Campus Sceaux										11	54.5	45.5	312	329	6
Banque Centrale-Supelec	Concours_Epf_Sceaux_Troyes_Montpellier_Pc	651	45.9	22.1				543	47.7	22.5	25					19
Banque Centrale-Supelec	Estp Paris - Travaux Publics (Tp) - Campus De Cachan										37	21.6	18.9	774	716	60
Banque Centrale-Supelec	Estp Paris - Bâtiment (B) - Campus De Cachan										56	39.3	26.8	717	704	57
Banque Centrale-Supelec	Estp Paris - Génie Mécanique Et Electrique(Gme)										18	38.9	16.7	867	781	30
Banque Centrale-Supelec	Estp Paris - Topographie (T)										2	50.0	0.0	619	619	8
Banque Centrale-Supelec	Estp Paris - Bâtiment (B) - Campus De Troyes										2	50.0	50.0	838	838	12
Banque Centrale-Supelec	Estp Paris - Travaux Publics (Tp) - Campus De Dijon										1	100.0	0.0	752	752	8
Banque Centrale-Supelec	Concours_Estp_Pc	1236	32.8	26.2				959	33.3	25.7	116					175
Banque Centrale-Supelec	Ecole Navale Brest	497	21.7	28.4				91	18.7	45.1	17	17.6	47.1	37	36	17
Concours Commun Mines-Ponts	Ensae Paris										6	33.3	50.0	568	574	8
Concours Commun Mines-Ponts	Ensta Paris										39	35.9	12.8	529	522	35
Concours Commun Mines-Ponts	Ensta Paris - Apprentissage										3	0.0	100.0	701	703	2
Concours Commun Mines-Ponts	Imt Atlantique Cursus Brest-Nantes-Rennes-Toulouse										76	25.0	21.1	1041	976	68
Concours Commun Mines-Ponts	Imt Atlantique Cursus Sophia Antipolis										5	40.0	0.0	935	949	3
Concours Commun Mines-Ponts	Isae - Supaero Toulouse										30	20.0	20.0	403	393	35
Concours Commun Mines-Ponts	Mines De Nancy										39	28.2	7.7	787	781	38
Concours Commun Mines-Ponts	Mines Saint-Etienne										42	35.7	23.8	874	850	41
Concours Commun Mines-Ponts	Mines Paristech										25	44.0	8.0	102	99	24
Concours Commun Mines-Ponts	Ponts Paristech										41	36.6	12.2	300	294	40
Concours Commun Mines-Ponts	Telecom Paris Cursus Paris										20	25.0	10.0	447	419	20
Concours Commun Mines-Ponts	Telecom Paris Cursus Sophia										10	50.0	40.0	556	556	8
Concours Commun Mines-Ponts	Chimie Paristech										68	48.5	10.3	756	737	65
