concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Centrale-Supelec	Centrale Casablanca										0	0.0	0.0	0	0	4
Centrale-Supelec	Centralesupélec - Campus Gif										20	10.0	5.0	30	28	20
Centrale-Supelec	Centralesupélec - Cursus Apprenti - Campus Rennes										7	14.3	0.0	97	87	5
Centrale-Supelec	Centrale Lyon										24	4.2	8.3	74	76	24
Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)										13	7.7	7.7	257	268	5
Centrale-Supelec	Centrale Lille										11	0.0	18.2	136	140	12
Centrale-Supelec	Centrale Nantes										10	20.0	0.0	93	89	20
Centrale-Supelec	Centrale Marseille										3	0.0	0.0	148	143	5
Centrale-Supelec	Concours_Centralesupélec	1472	12.1	20.0	439	9.3	10.9	427	9.6	10.3	88					95
Concours Commun Mines-Ponts	Ensta Paristech										12	16.7	8.3	65	62	8
Concours Commun Mines-Ponts	Imt Atlantique Cursus Sophia Antipolis										1	0.0	0.0	164	164	1
Concours Commun Mines-Ponts	Imt Atlantique Cursus Brest-Nantes-Rennes-Toulouse										5	20.0	0.0	117	120	3
Concours Commun Mines-Ponts	Isae - Supaero Toulouse										6	0.0	0.0	36	33	6
Concours Commun Mines-Ponts	Mines De Nancy										4	0.0	25.0	107	103	4
Concours Commun Mines-Ponts	Mines De Saint-Etienne										6	0.0	33.3	120	108	2
Concours Commun Mines-Ponts	Mines Paristech										5	40.0	0.0	17	15	5
Concours Commun Mines-Ponts	Ponts Paristech										2	0.0	0.0	28	28	2
Concours Commun Mines-Ponts	Telecom Paristech Cursus Paris										1	0.0	0.0	30	30	1
Concours Commun Mines-Ponts	Telecom Paristech Cursus Sophia										1	0.0	0.0	43	43	1
Concours Commun Mines-Ponts	Concours_Commun_Mines_Ponts_Pt	1154	11.6	19.1	198	5.6	14.1	196	5.6	14.3	43					33
Concours Commun Ensam	Arts Et Métiers - Ingénieurs Militaires	521	11.1	22.5	123	9.8	26.8	35	11.4	28.6	7	14.3	14.3	23	22	7
Concours Commun Ensam	Arts Et Métiers										538	13.2	32.3	504	498	530
Concours Commun Ensam	Arts Et Métiers - Voie De L'Apprentissage										6	16.7	33.3	680	569	12
