concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Ecole Polytechnique	Ecole Polytechnique	1297	27.7	24.8	251	19.9	25.1	162	17.9	24.1	130	16.9	26.2	74	73	130
Concours Ecole Polytechnique	Espci Paris	1396	29.8	24.9	417	21.8	24.0	369	21.1	23.0	55	40.0	9.1	210	206	55
Concours Ecole Polytechnique	Espci Paris Etranger	60	30.0	30.0	20	20.0	25.0	13	30.8	30.8	3	33.3	33.3	7	8	2
Banque Ens	Ens Ulm	1175	27.9	28.1	103	11.7	35.9	66	13.6	33.3	17	17.6	23.5	30	31	17
Banque Ens	Ens Paris-Saclay Pc	1402	27.9	26.5	270	17.4	35.2	160	18.8	34.4	18	11.1	55.6	123	113	18
Banque Ens	Ens De Lyon	1278	27.8	27.5	250	17.2	34.4	157	18.5	32.5	27	25.9	37.0	103	98	27
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant	2552	30.4	23.3	664	23.9	22.0	647	24.3	22.4	160	23.8	18.8	233	228	152
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant - Étr.	103	35.0	28.2	36	25.0	38.9	36	25.0	38.9	10	40.0	80.0	14	14	8
Banque Centrale-Supelec	Centrale Lyon	2782	31.8	23.1	641	24.3	23.1	627	24.7	23.4	58	24.1	34.5	447	447	62
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)	1702	32.0	27.0	555	28.1	25.8	537	28.7	25.3	30	23.3	40.0	457	422	45
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Étr.	54	50.0	37.0	14	57.1	57.1	14	57.1	57.1	0	0.0	0.0	0	0	2
Banque Centrale-Supelec	Centrale Lille	2694	32.0	25.0	717	28.2	27.3	696	28.6	27.2	48	39.6	37.5	522	485	50
Banque Centrale-Supelec	Centrale Nantes	2790	31.9	24.0	522	24.5	25.5	512	24.8	25.8	52	25.0	17.3	454	441	55
Banque Centrale-Supelec	Centrale Marseille	2845	33.0	24.4	1078	31.7	24.4	1028	32.2	24.7	76	44.7	30.3	762	723	80
Banque Centrale-Supelec	Centrale Casablanca	412	27.2	29.4	76	18.4	36.8	68	19.1	39.7	0	0.0	0.0	0	0	2
Banque Centrale-Supelec	Centralesupélec - Campus Étudiant - Ci										5	20.0	0.0	3	3	5
Banque Centrale-Supelec	Centrale Lyon - Ci										1	0.0	0.0	6	6	1
Banque Centrale-Supelec	Centrale Lille - Ci										1	0.0	0.0	8	8	1
Banque Centrale-Supelec	Centrale Nantes - Ci										1	0.0	0.0	7	7	5
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Ci										3	0.0	0.0	13	13	2
Banque Centrale-Supelec	Centrale Marseille - Ci										2	0.0	0.0	10	10	2
Banque Centrale-Supelec	Concours_Cycle_International_Centrale_Supelec_Pc	34	26.5	5.9	17	17.6	0.0	17	17.6	0.0	13					16
Banque Centrale-Supelec	Centrale Casablanca - Ci				0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0
Banque Centrale-Supelec	Arts Et Métiers										0	0.0	0.0	0	0	20
Banque Centrale-Supelec	Arts Et Métiers - Voie De L'Apprentissage										0	0.0	0.0	0	0	1
Banque Centrale-Supelec	Concours_Arts_Et_Mã‰Tiers_Paristech_Pc	1734	31.0	26.8	188	24.5	39.9	56	30.4	41.1	0					21
Banque Centrale-Supelec	Ensea Cergy	1734	31.0	26.8	1241	31.3	29.0	817	31.9	26.7	15	46.7	26.7	743	705	30
Banque Centrale-Supelec	Université De Technologie De Troyes (Utt)	603	34.0	22.7	186	36.6	17.7	147	36.7	17.0	3	0.0	0.0	130	129	20
Banque Centrale-Supelec	Epf Campus Troyes										14	35.7	21.4	267	270	10
Banque Centrale-Supelec	Epf Campus Montpellier										6	66.7	16.7	197	189	4
Banque Centrale-Supelec	Epf Campus Sceaux										9	33.3	22.2	219	181	6
Banque Centrale-Supelec	Concours_Epf_Sceaux_Troyes_Montpellier_Pc	470	44.7	19.8	404	44.3	20.5	297	48.8	20.9	29					20
Banque Centrale-Supelec	Estp Paris - Travaux Publics (Tp) - Campus De Cachan										49	20.4	20.4	514	480	60
Banque Centrale-Supelec	Estp Paris - Bâtiment (B) - Campus De Cachan										55	36.4	12.7	493	474	57
Banque Centrale-Supelec	Estp Paris - Génie Mécanique Et Electrique(Gme)										10	50.0	10.0	618	564	30
Banque Centrale-Supelec	Estp Paris - Topographie (T)										1	100.0	0.0	523	523	20
Banque Centrale-Supelec	Estp Paris - Bâtiment (B) - Campus De Troyes										6	16.7	33.3	622	617	12
Banque Centrale-Supelec	Estp Paris - Travaux Publics (Tp) - Campus De Dijon										4	25.0	25.0	630	558	5
Banque Centrale-Supelec	Concours_Estp_Pc	1172	34.0	23.0	876	35.2	22.5	643	35.6	20.7	125					184
Banque Centrale-Supelec	Ecole Navale Brest	491	22.2	28.5	159	25.2	39.0	60	16.7	56.7	17	5.9	64.7	29	31	17
Concours Commun Mines-Ponts	Ensae Paristech										10	40.0	30.0	562	542	8
Concours Commun Mines-Ponts	Ensta Paristech										37	29.7	29.7	494	477	35
Concours Commun Mines-Ponts	Ensta Paristech - Apprentissage										1	0.0	0.0	565	565	2
Concours Commun Mines-Ponts	Imt Atlantique Cursus Brest-Nantes-Rennes-Toulouse										72	23.6	33.3	1040	976	67
Concours Commun Mines-Ponts	Imt Atlantique Cursus Sophia Antipolis										4	75.0	50.0	984	787	3
Concours Commun Mines-Ponts	Isae - Supaero Toulouse										36	36.1	33.3	333	322	35
Concours Commun Mines-Ponts	Mines De Nancy										37	35.1	27.0	722	708	42
Concours Commun Mines-Ponts	Mines Saint-Etienne										37	29.7	32.4	848	844	41
Concours Commun Mines-Ponts	Mines Paristech										24	33.3	12.5	64	62	24
Concours Commun Mines-Ponts	Ponts Paristech										40	32.5	10.0	286	268	38
Concours Commun Mines-Ponts	Telecom Paristech Cursus Paris										22	40.9	18.2	488	457	23
Concours Commun Mines-Ponts	Telecom Paristech Cursus Sophia										8	12.5	25.0	599	587	8
Concours Commun Mines-Ponts	Chimie Paristech										64	57.8	18.8	754	675	65
Concours Commun Mines-Ponts	Concours_Ccmp_Pc	3637	33.2	22.2	1232	27.8	24.1	1206	27.9	24.5	392					391
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Ensc Cognitique										4	0.0	50.0	1750	1723	4
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Enseirb-Matmeca Electronique										16	6.2	18.8	2046	1990	13
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Enseirb-Matmeca Informatique										7	0.0	28.6	1450	1417	5
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Enseirb-Matmeca Mathématiques Et Mécanique										9	11.1	55.6	1688	1655	6
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Bordeaux Inp - Enseirb-Matmeca Télecom.										12	25.0	33.3	2236	2136	8
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Cpe Lyon Sciences Du Numérique										18	27.8	27.8	2958	2835	8
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Eisti Cergy - Pau										26	15.4	42.3	2855	2692	15
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Enac Toulouse Civil										17	29.4	47.1	773	812	19
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Enac Toulouse Fonctionnaire										4	0.0	25.0	234	246	4
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Engees Strasbourg Civil (Apprenti)										2	0.0	50.0	3050	3050	2
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Engees Strasbourg Civil (Étudiant)										12	41.7	25.0	2280	2208	10
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Engees Strasbourg Fonctionnaire										3	66.7	33.3	1606	1574	3
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensgti Pau - Génie Des Procédés										14	50.0	14.3	2994	2929	12
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensi Poitiers Energie										24	45.8	33.3	2961	2809	17
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensiame Valenciennes Méca Energ.										20	40.0	15.0	2888	2733	20
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensiame Valenciennes Mécatronique										9	22.2	33.3	2889	2865	5
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensicaen Electronique Et Physique Appliquée										18	5.6	33.3	2676	2514	15
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensicaen Informatique										8	12.5	12.5	2361	2387	8
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Ensmm Besanã§On										19	47.4	42.1	2530	2423	25
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Ense3										57	35.1	10.5	1300	1258	60
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Pagora										24	54.2	33.3	2900	2814	18
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Phelma (Physique Electronique Télécoms)										32	25.0	34.4	969	947	35
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Phelma (Physique Matériaux Procédés)										70	31.4	28.6	864	832	66
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Ensimag										10	50.0	40.0	457	465	10
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Grenoble Inp - Esisar										4	0.0	75.0	2068	2031	6
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Isae-Ensma Poitiers										27	25.9	29.6	1120	1010	28
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Isima Clermont-Ferrand										5	0.0	20.0	2587	2447	8
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Lorraine Inp - Ensem - Energie										18	27.8	50.0	2685	2599	24
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Lorraine Inp - Ensem - Spécialité Des Systèmes Numériques										4	25.0	75.0	2743	2698	5
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Seatech Toulon										17	35.3	23.5	2221	2165	18
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Supmeca Paris										26	26.9	42.3	1645	1560	20
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Telecom Physique Strasbourg										35	34.3	31.4	1961	1821	31
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Enseeiht - Electronique-Energie-Automatique (Eea)										19	21.1	15.8	1276	1228	20
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Enseeiht - Mécanique Desfluides-Energetique-Environnement (Mfee)										17	17.6	41.2	811	746	16
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Enseeiht - Sciences Du Numérique										9	22.2	66.7	746	732	7
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Ensiacet - Génie Des Procédés										20	35.0	20.0	2200	2096	17
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Toulouse Inp - Ensiacet - Génie Industriel										12	25.0	16.7	1769	1785	10
Ccinp : Ecoles Recrutant Sur Le Concours Physique	Concours_Ccinp_Pc_Physique	4880	35.6	21.7	3743	35.8	23.7	3300	37.2	23.7	648					598
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Bordeaux Inp - Enscbp Chimie-Génie Physique										37	59.5	13.5	1849	1797	42
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Cpe Lyon Chimie Â€“ Génie Des Procédés										44	63.6	31.8	2648	2532	45
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ecpm - Esbs Strasbourg - Chembiotech										5	100.0	20.0	929	836	5
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ecpm Strasbourg										38	65.8	18.4	1144	1069	42
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensc Lille										42	50.0	28.6	1758	1646	40
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensc Montpellier										60	63.3	21.7	725	713	60
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensc Mulhouse										28	67.9	25.0	2002	1990	35
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensc Rennes										39	66.7	17.9	2053	1906	40
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensi Poitiers - Génie De L'Eau Et Génie Civil										25	32.0	32.0	2927	2848	21
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensicaen Mat. Et Chimie										38	42.1	44.7	2509	2502	30
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Lorraine Inp - Ensic										55	63.6	14.5	1900	1894	50
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Sigma Clermont-Ferrand (Ex Ensccf)										35	62.9	25.7	2345	2283	36
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Toulouse Inp - Ensiacet - Chimie										32	71.9	25.0	1295	1286	30
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Toulouse Inp - Ensiacet - Génie Chimique										34	47.1	23.5	1689	1607	34
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Toulouse Inp - Ensiacet - Matériaux										34	41.2	20.6	1940	1827	33
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Concours_Ccinp_Pc_Chimie	4658	37.1	21.7	3543	37.3	23.9	3086	38.6	23.4	546					543
Banque Epreuves Ccinp Inter-Filière	Lorraine Inp - Eeigm	441	48.3	17.9	265	49.1	20.8	23	65.2	13.0	5	100.0	20.0	47	44	10
Banque Epreuves Ccinp Inter-Filière	Ensil-Ensci Limoges Céramique Industrielle	482	44.2	20.5	408	45.8	21.6	102	43.1	24.5	22	31.8	27.3	126	115	45
Banque Epreuves Ccinp Inter-Filière	Lorraine Inp - Ensgsi	601	45.4	19.6	401	46.1	20.4	76	48.7	23.7	14	50.0	21.4	96	89	35
Banque Epreuves Ccinp Inter-Filière	Esm Saint-Cyr	473	20.7	26.2	130	20.8	36.9	43	16.3	48.8	15	6.7	33.3	82	84	76
Banque Epreuves Ccinp Inter-Filière	Grenoble Inp - Génie Industriel	1004	39.3	21.4	360	38.9	26.7	56	44.6	23.2	7	14.3	28.6	124	161	76
Banque Epreuves Ccinp	Ecole De L'Air Base	470	26.0	27.2	158	25.9	37.3	30	26.7	56.7	1	0.0	0.0	12	12	1
Banque Epreuves Ccinp	Ecole De L'Air Méca	423	25.3	27.7	141	25.5	38.3	27	25.9	59.3	3	66.7	100.0	19	19	3
Banque Epreuves Ccinp	Ecole De L'Air Pilote	524	24.6	26.0	164	23.8	33.5	26	19.2	50.0	12	8.3	66.7	10	10	12
Banque Epreuves Ccinp	Ensisa Mulhouse Automatique Et Systèmes Embarqués										6	0.0	33.3	42	50	4
