concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Banque Ens Cachan/Ec. Polytech	Ens Ulm Psi	820	18.5	23.3	46	8.7	26.1	28	7.1	21.4	5	20.0	20.0	18	18	5
Banque Ens Cachan/Ec. Polytech	Ecole Polytechnique	919	16.4	19.6	91	14.3	12.1	63	15.9	11.1	57	14.0	10.5	31	31	57
Banque Ens Cachan/Ec. Polytech	Ens Paris-Saclay	1207	18.6	21.0	395	16.2	17.0	307	14.0	17.3	38	5.3	26.3	197	194	38
Banque Ens Cachan/Ec. Polytech	Ens Rennes	1103	17.8	22.0	369	15.4	16.5	332	14.8	16.6	2	0.0	0.0	270	270	3
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant	2494	21.5	19.0	551	16.9	10.9	544	17.1	10.5	176	18.2	10.2	209	198	175
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant - Étr.	86	24.4	18.6	25	16.0	4.0	24	16.7	4.2	11	0.0	0.0	12	12	9
Banque Centrale-Supelec	Centrale Lyon	2855	22.4	19.3	665	19.1	11.0	661	19.2	10.7	79	27.8	11.4	433	421	82
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)	1393	26.1	22.5	513	22.8	15.4	502	22.7	14.9	17	23.5	11.8	361	385	28
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Étr.	32	34.4	18.8	9	22.2	22.2	8	25.0	12.5	0	0.0	0.0	0	0	2
Banque Centrale-Supelec	Centrale Lille	2891	22.4	20.6	864	18.4	13.4	848	18.5	12.7	60	16.7	20.0	535	519	60
Banque Centrale-Supelec	Centrale Nantes	3055	22.7	20.0	602	19.3	12.1	597	19.4	11.7	63	28.6	14.3	440	423	75
Banque Centrale-Supelec	Centrale Marseille	2770	22.7	21.3	947	18.7	14.5	917	19.0	14.0	65	24.6	10.8	704	678	60
Banque Centrale-Supelec	Centrale Casablanca	437	22.0	27.7	65	7.7	16.9	63	7.9	15.9	0	0.0	0.0	0	0	3
Banque Centrale-Supelec	Centralesupélec - Campus Étudiant - Ci										6	33.3	0.0	4	4	6
Banque Centrale-Supelec	Centrale Lyon - Ci										1	0.0	0.0	7	7	1
Banque Centrale-Supelec	Centrale Lille - Ci										1	100.0	0.0	10	10	1
Banque Centrale-Supelec	Centrale Nantes - Ci										2	50.0	0.0	9	9	5
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Ci										2	0.0	0.0	13	13	1
Banque Centrale-Supelec	Centrale Marseille - Ci										1	0.0	0.0	11	11	1
Banque Centrale-Supelec	Concours_Cycle_International_Centrale_Supelec_Psi	100	33.0	12.0	19	26.3	5.3	19	26.3	5.3	13					15
Banque Centrale-Supelec	Centrale Casablanca - Ci	100	33.0	12.0	19	26.3	5.3	19	26.3	5.3	1	0.0	0.0	16	16	8
Banque Centrale-Supelec	Arts Et Métiers										273	22.7	23.8	748	715	257
Banque Centrale-Supelec	Arts Et Métiers - Ingénieurs Militaires										3	100.0	66.7	1035	988	3
Banque Centrale-Supelec	Arts Et Métiers - Voie De L'Apprentissage										7	14.3	14.3	908	818	6
Banque Centrale-Supelec	Concours_Arts_Et_Mã‰Tiers_Paristech_Psi	3303	22.6	21.3	1529	19.0	19.9	1187	20.6	19.5	283					266
Banque Centrale-Supelec	Ensea Cergy	3303	22.6	21.3	2390	21.5	21.9	1514	20.7	16.6	59	20.3	27.1	1317	1258	70
Banque Centrale-Supelec	Epf Campus Troyes										10	50.0	50.0	421	413	10
Banque Centrale-Supelec	Epf Campus Montpellier										7	57.1	57.1	377	352	6
Banque Centrale-Supelec	Epf Campus Sceaux										6	50.0	16.7	306	297	4
Banque Centrale-Supelec	Concours_Epf_Sceaux_Troyes_Montpellier_Psi	655	33.0	22.4	560	33.2	22.0	448	35.9	21.0	23					20
Banque Centrale-Supelec	Estp Paris - Travaux Publics (Tp) - Campus De Cachan										65	26.2	15.4	752	720	60
Banque Centrale-Supelec	Estp Paris - Bâtiment (B) - Campus De Cachan										55	41.8	12.7	641	612	55
Banque Centrale-Supelec	Estp Paris - Génie Mécanique Et Electrique(Gme)										28	17.9	32.1	796	753	30
Banque Centrale-Supelec	Estp Paris - Topographie (T)										7	42.9	42.9	903	908	22
Banque Centrale-Supelec	Estp Paris - Bâtiment (B) - Campus De Troyes										15	26.7	26.7	867	787	12
Banque Centrale-Supelec	Estp Paris - Travaux Publics (Tp) - Campus De Dijon										6	16.7	33.3	876	835	5
Banque Centrale-Supelec	Concours_Estp_Psi	1439	26.4	24.5	1201	26.6	23.8	922	27.9	21.4	176					184
Banque Centrale-Supelec	Ecole Navale Brest	699	21.9	32.5	195	20.5	43.1	105	22.9	51.4	32	25.0	46.9	40	42	32
Concours Commun Mines-Ponts	Ensae Paristech										11	9.1	27.3	577	562	8
Concours Commun Mines-Ponts	Ensta Paristech										56	25.0	12.5	501	486	55
Concours Commun Mines-Ponts	Ensta Paristech - Apprentissage										2	50.0	50.0	567	567	2
Concours Commun Mines-Ponts	Imt Atlantique Cursus Brest-Nantes-Rennes-Toulouse										67	20.9	11.9	933	895	65
Concours Commun Mines-Ponts	Imt Atlantique Cursus Sophia Antipolis										3	0.0	33.3	921	966	3
Concours Commun Mines-Ponts	Isae - Supaero Toulouse										82	7.3	15.9	301	265	75
Concours Commun Mines-Ponts	Mines De Nancy										46	15.2	17.4	680	682	41
Concours Commun Mines-Ponts	Mines Saint-Etienne										45	22.2	20.0	892	866	45
Concours Commun Mines-Ponts	Mines Paristech										36	27.8	0.0	66	57	36
