concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Ecole Polytechnique	Ecole Polytechnique Info.	887	10.5	23.8				162	8.6	18.5	102	7.8	20.6	82	80	102
Concours Ecole Polytechnique	Ecole Polytechnique P&Si	820	19.1	26.2				119	10.1	14.3	80	12.5	17.5	48	48	80
Banque Ens	Ens Ulm Mpi	1840	15.7	26.2				88	9.1	18.2	40	10.0	12.5	35	35	40
Banque Ens	Ens Ulm Info.	374	12.0	27.5				34	14.7	29.4	16	12.5	18.8	9	9	16
Banque Ens	Ens Paris-Saclay Mp	1957	16.7	25.2				239	8.4	22.6	18	5.6	27.8	170	168	18
Banque Ens	Ens Paris-Saclay Info.	361	10.5	27.7				89	7.9	30.3	14	14.3	35.7	37	37	14
Banque Ens	Ens De Lyon Mpi	1973	16.5	26.1				180	7.8	22.8	21	0.0	33.3	116	103	21
Banque Ens	Ens De Lyon Info.	388	12.1	27.1				86	5.8	26.7	22	0.0	27.3	46	42	22
Banque Ens	Ens Rennes Mp	1888	17.0	25.7				308	8.4	26.0	11	9.1	45.5	208	214	11
Banque Ens	Ens Rennes Info.	377	10.1	26.8				86	8.1	25.6	8	12.5	50.0	47	48	8
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant	3735	20.5	22.7				2735	18.5	22.0	290	15.5	17.9	412	399	290
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant - Étr.	219	21.5	28.8				114	14.9	30.7	22	22.7	45.5	33	32	23
Banque Centrale-Supelec	Centrale Lyon	4009	22.1	22.5				2854	19.9	22.2	127	15.0	28.3	819	811	127
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique)	1645	23.3	26.0				1128	21.3	25.5	22	31.8	45.5	549	558	38
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Étr.	81	34.6	32.1				36	30.6	41.7	6	0.0	66.7	28	29	2
Banque Centrale-Supelec	Centrale Lille	3773	23.6	23.3				2516	21.5	23.6	93	21.5	21.5	926	920	90
Banque Centrale-Supelec	Centrale Nantes	3894	23.1	22.4				2696	20.9	22.5	108	29.6	19.4	848	779	120
Banque Centrale-Supelec	Centrale Marseille	3642	24.0	22.4				2292	21.2	22.3	80	28.8	31.2	1119	1110	80
Banque Centrale-Supelec	Centrale Casablanca	616	20.6	27.6				261	14.2	29.5	2	0.0	50.0	137	137	8
Banque Centrale-Supelec	Centrale Casablanca	1191	38.4	7.8				635	34.6	5.7	36	41.7	2.8	533	502	80
Banque Centrale-Supelec	Centralesupélec - Statut Étudiant - Ci										12	8.3	41.7	20	20	12
Banque Centrale-Supelec	Centrale Lyon - Ci										8	12.5	75.0	41	42	8
Banque Centrale-Supelec	Centrale Lille - Ci										5	0.0	20.0	79	75	6
Banque Centrale-Supelec	Centrale Nantes - Ci										2	50.0	0.0	51	51	5
Banque Centrale-Supelec	Institut D'Optique Graduate School (Supoptique) - Ci										4	25.0	0.0	128	114	3
